Stein,Herkunft,Besonderheit,Qualität,Farbe,transparent,Schliff,Cut/Rough,Karat,Abmessung,Anmerkung,Versand, Preis,Anzahl,Summe  Karat,Preis/Karat,,,,,,,,,
Tansanit,Tansania,,IF ,,transparent,Kissen,Cut,"7,1","11x10,5x8","306,16","43,12",Ebay 31.12.23,270,1917,,1,,,,,,,,"459,24"
Tansanit,Tansania,2x,VVS,,transparent,Tropfen,Cut,"7,2",11.5 x8.2 11.5 x8.1,"443,89","61,65",,,,,1,,,,,,,,"665,84"
Tansanit,Tansania,,VVS,,transparent,Tropfen,Cut,"7,32","15,78x10,40x6,81",460,"62,84",x,450,,,1,,,,,,,,690
Tansanit,Tansania,,IF ,,transparent,Oval,Cut,"7,34","13,34x10,35x7,53","395,78","53,92",,,,,1,,,,,,,,"593,67"
Tansanit,Tansania,,VVS,,transparent,Tropfen,Cut,"7,34","14,9x10,4x7,15","477,25","65,02",x,500,,,1,,,,,,,,"715,88"
Tansanit,Tansania,,IF ,,transparent,oval,Cut,"7,46","15,39x11,36x6,48","301,88","40,47",,,,,1,,,,,,,,"452,82"
Tansanit,Tansania,,VVS,,transparent,Kissen,Cut,"8,19",13.6x10.2x7.3,"611,32","74,64",,,,,1,,,,,,,,"916,98"
Tansanit,Tansania,,IF ,,transparent,Kissen,Cut,"8,48","13,9x10x7,1","1292,04","152,36",,,,,1,,,,,,,,"1938,06"
Tansanit,Tansania,,IF ,,transparent,Oval,Cut,"8,58","14,09x10,56x7,22","432,76","50,44",,,,,1,,,,,,,,"649,14"
Tansanit,Tansania,,IF ,,transparent,Oktagon,Cut,"15,19","13,53x13,13x8,76","1194,54","78,64",,,,,1,,,,,,,,"1791,81"
Topas,Tansania,No treatment,,weiss,transpartent,,Rough,"10,3",,11,"1,07",,,,,,,,,,,,,
Turmalin,Tansania,Chrom,VVS,Grün ,transparent,rund,Cut,"0,92","6,1x4,1",140,"152,17",,,,,1,,,,,,,,210
Turmalin,Mozambique,Kupfer,vs,blau,transparent,Kissen,Cut,"1,16","7,3x5x4",65,"56,03",,,,,1,,,,,,,,"97,5"
Turmalin,Tansania,,VVS,Pink-violett,transparent,Oval,Cut,"1,66",,,0,,,,"1,1","2,96",,,inert,,Orange-violett,,,
Turmalin,Mozambique,,IF ,,transparent,Oval,Cut,"1,67",8.05x6.10x4.70,"15,09","9,04",, ,,,1,,,,,,,,"22,64"
Turmalin,Mozambique,,VVS,Grün ,transparent,Oval,Cut,"1,91","6,8x7,5x5,3","34,43","18,03",,,,,1,,,,,,,,"51,65"
